^,0,a1a,transition,,,,,,,,,,,,,,,,,,,,,,
^,1,a1b,Have you ever been to Laguna Campus,Nakapunta ka na ba sa DLSU Laguna Campus?,,,,,,,,,,,,,,,,,,,,,
a,,0,Yes,Oo,,,,,,,,,,,,,,,,,,,,,
b,,1,No,Hindi,,,,,,,,,,,,,,,,,,,,,
^,1,a1c,Which do you prefer to take your classes in?,Saan mo mas gusto mag klase?,,,,,,,,,,,,,,,,,,,,,
a,a1e,1,DLSU Taft Campus,DLSU Taft Campus,,,,,,,,,,,,,,,,,,,,,
b,a1d,2,DLSU Laguna Campus,DLSU Laguna Campus,,,,,,,,,,,,,,,,,,,,,
^,2,a1d,"If you prefer to take your classes in Laguna Campus, why?","Kung mas gusto mag klase sa DLSU Laguna Campus, bakit?",,,,,,,,,,,,,,,,,,,,,
a,,1,I'm From The South,Tiga South ako,,,,,,,,,,,,,,,,,,,,,
b,,2,It Is More Peaceful,May payapa doon,,,,,,,,,,,,,,,,,,,,,
b,,3,Other Reason,Ibang Dahilan,,,,,,,,,,,,,,,,,,,,,
^,1,a1e,Do you agree that the DLSU Laguna Campus can be one of the best campuses in the Philippines in the near future?,Sumasang-ayon ka ba na ang DLSU Laguna Campus ay pwede maging isa sa pinakamagagandang campus sa Pilipinas balang araw?,,,,,,,,,,,,,,,,,,,,,
a,,1,Strongly Agree,Sobrang Sumasang-ayon,,,,,,,,,,,,,,,,,,,,,
b,,2,Agree,Sumasang-ayon,,,,,,,,,,,,,,,,,,,,,
b,,3,Neutral,Sakto,,,,,,,,,,,,,,,,,,,,,
b,,4,Disagree,Hindi Sumasang-ayon,,,,,,,,,,,,,,,,,,,,,
b,,5,Strongly Disagree,Sobrang Hindi Sumasang-ayon,,,,,,,,,,,,,,,,,,,,,
^,1,a1f,Are you going to recommend to the future DLSU students to take their classes in Laguna Campus in the future?,Irerekomenda mo ba sa mga magiging studyante ng DLSU na mag klase sa Laguna Campus?,,,,,,,,,,,,,,,,,,,,,
a,,0,Yes,Oo,,,,,,,,,,,,,,,,,,,,,
b,,1,No,Hindi,,,,,,,,,,,,,,,,,,,,,
^,1,a1g,Please mark the same answer you have in the previous question,Markahan ang katulad na sagot sa huling tanong,,,,,,,,,,,,,,,,,,,,,
a,,0,Yes,Oo,,,,,,,,,,,,,,,,,,,,,
b,,1,No,Hindi,,,,,,,,,,,,,,,,,,,,,
