^,0,a1a,Demographics,
^,1,a1b,What is your gender?,Ano ang iyong kasarian?
a,,0,Girl,Babae
b,,1,Boy,Lalaki
^,1,a1c,How old are you?,Ano ang iyong edad?
a,,0,6 years old,6 na taon
b,,1,7 years old,7 na taon
c,,2,8 years old,8 na taon
d,,3,9 years old,9 na taon
^,1,a1d,What grade are you in?,Ano ang iyong edad?
a,,0,1st grade,Unang antas
b,,1,2nd grade,Pangalawang antas
c,,2,3rd grade,Pangatlong antas
^,0,a1e,Well-being,
^,0,a1f,Are you a happy person?,Masaya ka bang tao?
a,,0,Not a happy person at all,Unang antas
a,,1,Not a happy person,Pangalawang antas
a,,2,Sometimes,Pangatlong antas
b,,3,A happy person,Pangalawang antas
b,,4,A very happy person,Pangatlong antas
^,0,a1g,Do you usually get sick?,
a,,0,Once a week,
a,,1,Every other week ,
a,,2,Every few months,
b,,3,A few times a year,
b,,4,I rarely get sick in a year,
^,0,a1h,Who looks after you at home or when you’re sick?,
a,,0,Grandparents,
a,,1,Parents,
a,,2,Siblings,
b,,3,Others,
b,,4,I take care of myself,
^,0,a1i,Do you enjoy your daily activities?,
a,,0,I don’t enjoy them at all,
a,,1,I usually don’t enjoy them,
a,,2,I sometimes enjoy them,
b,,3,I usually enjoy them,
b,,4,I always enjoy them,
^,0,a1j,Your home and the people you live with,
^,1,a1k,Does your father have a job?,
a,,0,Yes,
b,,1,No,
^,1,a1l,How often do you spend time with your father?,
a,,0,Once a day,
b,,1,A few times a week,
a,,2,A few times a month,
b,,3,A few times a year,
^,1,a1m,Does your mother have a job?,
a,,0,Yes,
b,,1,No,
^,1,a1n,How often do you spend time with your mother?,
a,,0,Once a day,
b,,1,A few times a week,
a,,2,A few times a month,
b,,3,A few times a year,
^,1,a1o,Do you have siblings?,
a,,0,Yes,
b,,1,No,
^,1,a1p,Do you like your siblings?,
a,,0,I don’t like my siblings at all,
b,,1,I sometimes like my siblings,
a,,2,I usually like my siblings,
b,,3,I really like my siblings,
^,1,a1q,Where do you live?,
a,,0,Own House,
b,,1,Apartment/ Condo,
a,,2,Always moving houses,
b,,3,Others,
^,1,a1r,Do you have your own bedroom at home?,
a,,0,Yes,
b,,1,No,
^,1,a1s,Do you like how your bedroom looks?,
a,,0,Yes,
b,,1,No,
^,1,a1t,How do you feel when you are at home?,
a,,0, I feel safe at home.,
b,,1,I feel happy at home.,
a,,2,I do not feel safe at home.,
b,,3,I feel sad at home.,
^,1,a1u,Do your parents listen to what you say?,
a,,0,My parents never listen to what I say,
b,,1,My parents seldom listen to what I say,
a,,2,My parents usually  listen to what I say,
b,,3,My parents always listen to what I say,
^,1,a1v,Do your parents pay attention to you?,
a,,0,My parents never pays attention to me,
a,,1,My parents seldom pays attention to me,
b,,2,My parents usually pays attention to me,
b,,3,My parents always pays attention to me,
